Epoch 1 - T_A:   0.0%, V_A:   0.0%, Validation Loss: 3.666, train_loss : 3.645
Epoch 280 - T_A:  40.6%, V_A:  46.9%, Validation Loss: 1.615, train_loss : 1.907
Epoch 281 - T_A:  46.9%, V_A:  21.9%, Validation Loss: 2.399, train_loss : 1.578
Epoch 282 - T_A:  46.9%, V_A:  40.6%, Validation Loss: 2.047, train_loss : 1.655
Epoch 283 - T_A:  28.1%, V_A:  37.5%, Validation Loss: 2.454, train_loss : 1.989
Epoch 284 - T_A:  50.0%, V_A:  46.9%, Validation Loss: 1.903, train_loss : 1.794
Epoch 285 - T_A:  59.4%, V_A:  31.2%, Validation Loss: 2.160, train_loss : 1.948
Epoch 286 - T_A:  62.5%, V_A:  34.4%, Validation Loss: 1.846, train_loss : 1.671
Epoch 287 - T_A:  56.2%, V_A:  31.2%, Validation Loss: 2.449, train_loss : 1.802
Epoch 288 - T_A:  28.1%, V_A:  37.5%, Validation Loss: 1.872, train_loss : 2.408
Epoch 289 - T_A:  40.6%, V_A:  50.0%, Validation Loss: 2.202, train_loss : 1.730
Epoch 290 - T_A:  31.2%, V_A:  34.4%, Validation Loss: 2.180, train_loss : 1.944
Epoch 291 - T_A:  40.6%, V_A:  46.9%, Validation Loss: 1.897, train_loss : 1.947
Epoch 304 - T_A:  40.6%, V_A:  43.8%, Validation Loss: 1.741, train_loss : 1.900
Epoch 305 - T_A:  46.9%, V_A:  34.4%, Validation Loss: 2.146, train_loss : 1.481
Epoch 306 - T_A:  50.0%, V_A:  28.1%, Validation Loss: 2.404, train_loss : 1.683
Epoch 307 - T_A:  62.5%, V_A:  43.8%, Validation Loss: 2.241, train_loss : 1.531
Epoch 308 - T_A:  46.9%, V_A:  34.4%, Validation Loss: 2.034, train_loss : 1.906
Epoch 309 - T_A:  34.4%, V_A:  46.9%, Validation Loss: 1.575, train_loss : 1.999
Epoch 310 - T_A:  37.5%, V_A:  46.9%, Validation Loss: 1.800, train_loss : 2.093
Epoch 311 - T_A:  46.9%, V_A:  46.9%, Validation Loss: 1.590, train_loss : 2.027
Epoch 312 - T_A:  34.4%, V_A:  31.2%, Validation Loss: 2.543, train_loss : 2.110
Epoch 313 - T_A:  40.6%, V_A:  43.8%, Validation Loss: 2.038, train_loss : 2.364
Epoch 314 - T_A:  62.5%, V_A:  37.5%, Validation Loss: 2.195, train_loss : 1.741
Epoch 315 - T_A:  56.2%, V_A:  31.2%, Validation Loss: 2.410, train_loss : 1.856
Epoch 316 - T_A:  56.2%, V_A:  46.9%, Validation Loss: 1.702, train_loss : 1.667
Epoch 317 - T_A:  34.4%, V_A:  34.4%, Validation Loss: 2.082, train_loss : 2.112
Epoch 318 - T_A:  53.1%, V_A:  28.1%, Validation Loss: 2.053, train_loss : 1.958
Epoch 319 - T_A:  40.6%, V_A:  50.0%, Validation Loss: 1.526, train_loss : 1.871
Epoch 320 - T_A:  53.1%, V_A:  25.0%, Validation Loss: 2.060, train_loss : 1.695
Epoch 321 - T_A:  28.1%, V_A:  46.9%, Validation Loss: 1.800, train_loss : 2.200
Epoch 322 - T_A:  59.4%, V_A:  34.4%, Validation Loss: 2.233, train_loss : 1.302
Epoch 323 - T_A:  43.8%, V_A:  43.8%, Validation Loss: 1.584, train_loss : 1.972
Epoch 324 - T_A:  43.8%, V_A:  40.6%, Validation Loss: 2.073, train_loss : 1.928
Epoch 325 - T_A:  40.6%, V_A:  53.1%, Validation Loss: 1.745, train_loss : 1.796
Epoch 326 - T_A:  62.5%, V_A:  31.2%, Validation Loss: 2.082, train_loss : 1.516
Epoch 327 - T_A:  50.0%, V_A:  31.2%, Validation Loss: 1.746, train_loss : 1.997
Epoch 328 - T_A:  28.1%, V_A:  25.0%, Validation Loss: 2.294, train_loss : 2.019
Epoch 329 - T_A:  50.0%, V_A:  40.6%, Validation Loss: 1.900, train_loss : 1.792
Epoch 330 - T_A:  46.9%, V_A:  53.1%, Validation Loss: 2.029, train_loss : 1.546
Epoch 331 - T_A:  46.9%, V_A:  40.6%, Validation Loss: 2.177, train_loss : 1.703
Epoch 332 - T_A:  53.1%, V_A:  59.4%, Validation Loss: 1.819, train_loss : 1.980
Epoch 333 - T_A:  46.9%, V_A:  28.1%, Validation Loss: 2.394, train_loss : 1.688
Epoch 334 - T_A:  46.9%, V_A:  40.6%, Validation Loss: 2.207, train_loss : 1.635
Epoch 335 - T_A:  50.0%, V_A:  50.0%, Validation Loss: 1.883, train_loss : 1.607
Epoch 336 - T_A:  56.2%, V_A:  53.1%, Validation Loss: 1.962, train_loss : 1.691
Epoch 337 - T_A:  21.9%, V_A:  40.6%, Validation Loss: 1.758, train_loss : 1.867
Epoch 338 - T_A:  53.1%, V_A:  34.4%, Validation Loss: 2.435, train_loss : 2.121
Epoch 339 - T_A:  43.8%, V_A:  34.4%, Validation Loss: 2.143, train_loss : 1.836
Epoch 340 - T_A:  40.6%, V_A:  43.8%, Validation Loss: 1.875, train_loss : 1.896
Epoch 341 - T_A:  50.0%, V_A:  50.0%, Validation Loss: 1.876, train_loss : 1.759
Epoch 342 - T_A:  65.6%, V_A:  40.6%, Validation Loss: 2.154, train_loss : 1.358
Epoch 343 - T_A:  59.4%, V_A:  34.4%, Validation Loss: 2.404, train_loss : 1.589
Epoch 344 - T_A:  56.2%, V_A:  37.5%, Validation Loss: 2.157, train_loss : 1.434
Epoch 345 - T_A:  40.6%, V_A:  37.5%, Validation Loss: 2.251, train_loss : 1.617
Epoch 346 - T_A:  40.6%, V_A:  59.4%, Validation Loss: 1.761, train_loss : 1.784
Epoch 347 - T_A:  56.2%, V_A:  46.9%, Validation Loss: 1.709, train_loss : 1.338
Epoch 348 - T_A:  53.1%, V_A:  59.4%, Validation Loss: 1.728, train_loss : 1.631
Epoch 349 - T_A:  40.6%, V_A:  34.4%, Validation Loss: 2.312, train_loss : 1.867
Epoch 350 - T_A:  46.9%, V_A:  53.1%, Validation Loss: 1.948, train_loss : 1.891
Epoch 351 - T_A:  53.1%, V_A:  46.9%, Validation Loss: 2.105, train_loss : 1.475
Epoch 352 - T_A:  46.9%, V_A:  34.4%, Validation Loss: 2.090, train_loss : 1.660
Epoch 353 - T_A:  46.9%, V_A:  43.8%, Validation Loss: 1.915, train_loss : 1.695
Epoch 354 - T_A:  53.1%, V_A:  43.8%, Validation Loss: 1.844, train_loss : 1.625
Epoch 355 - T_A:  46.9%, V_A:  34.4%, Validation Loss: 1.876, train_loss : 1.415
Epoch 356 - T_A:  43.8%, V_A:  62.5%, Validation Loss: 1.618, train_loss : 1.454
Epoch 357 - T_A:  56.2%, V_A:  40.6%, Validation Loss: 2.302, train_loss : 1.804
Epoch 358 - T_A:  43.8%, V_A:  43.8%, Validation Loss: 1.522, train_loss : 1.906
Epoch 359 - T_A:  71.9%, V_A:  34.4%, Validation Loss: 2.105, train_loss : 1.471
Epoch 360 - T_A:  43.8%, V_A:  40.6%, Validation Loss: 1.885, train_loss : 2.320
Epoch 361 - T_A:  40.6%, V_A:  53.1%, Validation Loss: 2.330, train_loss : 2.020
Epoch 362 - T_A:  31.2%, V_A:  40.6%, Validation Loss: 1.821, train_loss : 1.779
Epoch 363 - T_A:  53.1%, V_A:  40.6%, Validation Loss: 2.386, train_loss : 1.597
Epoch 364 - T_A:  65.6%, V_A:  50.0%, Validation Loss: 1.533, train_loss : 1.350
Epoch 365 - T_A:  50.0%, V_A:  40.6%, Validation Loss: 2.019, train_loss : 1.355
Epoch 366 - T_A:  37.5%, V_A:  56.2%, Validation Loss: 1.864, train_loss : 1.864
Epoch 367 - T_A:  53.1%, V_A:  53.1%, Validation Loss: 2.117, train_loss : 1.691
Epoch 368 - T_A:  43.8%, V_A:  46.9%, Validation Loss: 2.158, train_loss : 1.738
Epoch 369 - T_A:  21.9%, V_A:  50.0%, Validation Loss: 1.679, train_loss : 1.905
Epoch 370 - T_A:  43.8%, V_A:  31.2%, Validation Loss: 2.407, train_loss : 2.090
Epoch 371 - T_A:  34.4%, V_A:  46.9%, Validation Loss: 2.055, train_loss : 1.849
Epoch 372 - T_A:  50.0%, V_A:  50.0%, Validation Loss: 1.938, train_loss : 1.274
Epoch 373 - T_A:  46.9%, V_A:  40.6%, Validation Loss: 1.948, train_loss : 1.235
Epoch 374 - T_A:  46.9%, V_A:  53.1%, Validation Loss: 1.645, train_loss : 1.768
Epoch 375 - T_A:  59.4%, V_A:  28.1%, Validation Loss: 1.847, train_loss : 1.725
Epoch 376 - T_A:  40.6%, V_A:  31.2%, Validation Loss: 2.365, train_loss : 1.632
Epoch 377 - T_A:  34.4%, V_A:  37.5%, Validation Loss: 2.085, train_loss : 1.612
Epoch 378 - T_A:  43.8%, V_A:  56.2%, Validation Loss: 1.814, train_loss : 1.914
Epoch 379 - T_A:  53.1%, V_A:  43.8%, Validation Loss: 2.128, train_loss : 1.549
Epoch 380 - T_A:  53.1%, V_A:  50.0%, Validation Loss: 2.247, train_loss : 1.496
Epoch 381 - T_A:  53.1%, V_A:  56.2%, Validation Loss: 2.101, train_loss : 1.701
Epoch 382 - T_A:  50.0%, V_A:  31.2%, Validation Loss: 2.135, train_loss : 1.430
Epoch 383 - T_A:  34.4%, V_A:  53.1%, Validation Loss: 1.542, train_loss : 1.730
Epoch 384 - T_A:  50.0%, V_A:  53.1%, Validation Loss: 1.931, train_loss : 1.855
Epoch 385 - T_A:  50.0%, V_A:  46.9%, Validation Loss: 1.332, train_loss : 1.773
Epoch 386 - T_A:  53.1%, V_A:  25.0%, Validation Loss: 2.368, train_loss : 1.460
Epoch 387 - T_A:  43.8%, V_A:  40.6%, Validation Loss: 1.865, train_loss : 1.636
Epoch 388 - T_A:  40.6%, V_A:  37.5%, Validation Loss: 1.888, train_loss : 2.038
Epoch 389 - T_A:  53.1%, V_A:  34.4%, Validation Loss: 2.258, train_loss : 1.659
Epoch 390 - T_A:  31.2%, V_A:  56.2%, Validation Loss: 1.534, train_loss : 1.958
Epoch 391 - T_A:  53.1%, V_A:  43.8%, Validation Loss: 1.888, train_loss : 1.626
Epoch 392 - T_A:  65.6%, V_A:  53.1%, Validation Loss: 2.028, train_loss : 1.277
Epoch 393 - T_A:  56.2%, V_A:  53.1%, Validation Loss: 1.436, train_loss : 1.215
Epoch 394 - T_A:  40.6%, V_A:  28.1%, Validation Loss: 1.881, train_loss : 1.929
Epoch 395 - T_A:  53.1%, V_A:  46.9%, Validation Loss: 1.782, train_loss : 1.512
Epoch 396 - T_A:  43.8%, V_A:  50.0%, Validation Loss: 1.886, train_loss : 1.564
Epoch 397 - T_A:  65.6%, V_A:  40.6%, Validation Loss: 1.762, train_loss : 1.403
Epoch 398 - T_A:  59.4%, V_A:  50.0%, Validation Loss: 2.069, train_loss : 1.409
Epoch 399 - T_A:  56.2%, V_A:  46.9%, Validation Loss: 1.626, train_loss : 2.144
Epoch 400 - T_A:  53.1%, V_A:  43.8%, Validation Loss: 2.354, train_loss : 1.441
Epoch 401 - T_A:  46.9%, V_A:  40.6%, Validation Loss: 1.739, train_loss : 1.592
Epoch 402 - T_A:  53.1%, V_A:  37.5%, Validation Loss: 2.090, train_loss : 1.835
Epoch 403 - T_A:  37.5%, V_A:  50.0%, Validation Loss: 1.718, train_loss : 1.709
Epoch 404 - T_A:  56.2%, V_A:  53.1%, Validation Loss: 1.726, train_loss : 1.401
Epoch 405 - T_A:  34.4%, V_A:  40.6%, Validation Loss: 1.883, train_loss : 1.859
Epoch 406 - T_A:  40.6%, V_A:  53.1%, Validation Loss: 1.884, train_loss : 1.776
Epoch 407 - T_A:  53.1%, V_A:  31.2%, Validation Loss: 2.330, train_loss : 1.387
Epoch 408 - T_A:  34.4%, V_A:  46.9%, Validation Loss: 1.447, train_loss : 1.786
Epoch 409 - T_A:  31.2%, V_A:  46.9%, Validation Loss: 1.775, train_loss : 1.656
Epoch 410 - T_A:  46.9%, V_A:  40.6%, Validation Loss: 1.761, train_loss : 1.700
Epoch 411 - T_A:  50.0%, V_A:  46.9%, Validation Loss: 1.820, train_loss : 1.623
Epoch 412 - T_A:  50.0%, V_A:  40.6%, Validation Loss: 1.851, train_loss : 1.493
Epoch 413 - T_A:  53.1%, V_A:  43.8%, Validation Loss: 1.944, train_loss : 1.421
Epoch 414 - T_A:  62.5%, V_A:  34.4%, Validation Loss: 2.061, train_loss : 1.484
Epoch 415 - T_A:  46.9%, V_A:  59.4%, Validation Loss: 1.769, train_loss : 1.617
Epoch 416 - T_A:  65.6%, V_A:  34.4%, Validation Loss: 1.839, train_loss : 1.506
Epoch 417 - T_A:  46.9%, V_A:  31.2%, Validation Loss: 2.107, train_loss : 1.616
Epoch 418 - T_A:  53.1%, V_A:  50.0%, Validation Loss: 2.056, train_loss : 1.544
Epoch 419 - T_A:  50.0%, V_A:  31.2%, Validation Loss: 2.010, train_loss : 1.548
Epoch 420 - T_A:  59.4%, V_A:  65.6%, Validation Loss: 1.526, train_loss : 1.270
Epoch 421 - T_A:  40.6%, V_A:  53.1%, Validation Loss: 1.799, train_loss : 2.273
Epoch 422 - T_A:  46.9%, V_A:  59.4%, Validation Loss: 1.511, train_loss : 1.690
Epoch 423 - T_A:  46.9%, V_A:  34.4%, Validation Loss: 2.535, train_loss : 1.663
Epoch 424 - T_A:  37.5%, V_A:  50.0%, Validation Loss: 2.133, train_loss : 2.049
Epoch 425 - T_A:  43.8%, V_A:  34.4%, Validation Loss: 1.872, train_loss : 1.453
Epoch 426 - T_A:  50.0%, V_A:  28.1%, Validation Loss: 2.095, train_loss : 1.591
Epoch 427 - T_A:  53.1%, V_A:  53.1%, Validation Loss: 1.330, train_loss : 1.610
Epoch 428 - T_A:  65.6%, V_A:  40.6%, Validation Loss: 1.786, train_loss : 1.464
Epoch 429 - T_A:  50.0%, V_A:  34.4%, Validation Loss: 2.125, train_loss : 1.538
Epoch 430 - T_A:  50.0%, V_A:  50.0%, Validation Loss: 1.323, train_loss : 1.704
Epoch 431 - T_A:  56.2%, V_A:  46.9%, Validation Loss: 1.896, train_loss : 1.333
Epoch 432 - T_A:  75.0%, V_A:  50.0%, Validation Loss: 1.594, train_loss : 1.184
Epoch 433 - T_A:  71.9%, V_A:  50.0%, Validation Loss: 2.156, train_loss : 1.135
Epoch 434 - T_A:  68.8%, V_A:  46.9%, Validation Loss: 1.723, train_loss : 1.401
Epoch 435 - T_A:  50.0%, V_A:  50.0%, Validation Loss: 2.018, train_loss : 1.294
Epoch 436 - T_A:  59.4%, V_A:  59.4%, Validation Loss: 1.401, train_loss : 1.522
Epoch 437 - T_A:  50.0%, V_A:  31.2%, Validation Loss: 2.110, train_loss : 1.375
Epoch 438 - T_A:  62.5%, V_A:  43.8%, Validation Loss: 1.545, train_loss : 1.306
Epoch 439 - T_A:  56.2%, V_A:  40.6%, Validation Loss: 2.200, train_loss : 1.622
Epoch 440 - T_A:  46.9%, V_A:  43.8%, Validation Loss: 1.631, train_loss : 1.639
Epoch 441 - T_A:  53.1%, V_A:  46.9%, Validation Loss: 1.964, train_loss : 1.918
Epoch 442 - T_A:  62.5%, V_A:  46.9%, Validation Loss: 1.932, train_loss : 1.444
Epoch 443 - T_A:  50.0%, V_A:  43.8%, Validation Loss: 1.743, train_loss : 1.701
Epoch 444 - T_A:  71.9%, V_A:  28.1%, Validation Loss: 2.218, train_loss : 1.803
Epoch 445 - T_A:  53.1%, V_A:  37.5%, Validation Loss: 1.627, train_loss : 1.583
Epoch 446 - T_A:  53.1%, V_A:  59.4%, Validation Loss: 1.905, train_loss : 1.504
Epoch 447 - T_A:  78.1%, V_A:  50.0%, Validation Loss: 1.549, train_loss : 1.102
Epoch 448 - T_A:  56.2%, V_A:  56.2%, Validation Loss: 1.652, train_loss : 1.031
Epoch 449 - T_A:  68.8%, V_A:  40.6%, Validation Loss: 1.988, train_loss : 1.117
Epoch 450 - T_A:  56.2%, V_A:  40.6%, Validation Loss: 2.108, train_loss : 1.500
Epoch 451 - T_A:  43.8%, V_A:  50.0%, Validation Loss: 1.890, train_loss : 1.424
Epoch 452 - T_A:  46.9%, V_A:  46.9%, Validation Loss: 1.517, train_loss : 1.605
Epoch 453 - T_A:  53.1%, V_A:  46.9%, Validation Loss: 2.396, train_loss : 2.000
Epoch 454 - T_A:  71.9%, V_A:  37.5%, Validation Loss: 2.077, train_loss : 1.140
Epoch 455 - T_A:  56.2%, V_A:  40.6%, Validation Loss: 2.108, train_loss : 1.533
Epoch 456 - T_A:  46.9%, V_A:  37.5%, Validation Loss: 2.161, train_loss : 1.491
Epoch 457 - T_A:  59.4%, V_A:  68.8%, Validation Loss: 1.504, train_loss : 1.715
Epoch 458 - T_A:  50.0%, V_A:  53.1%, Validation Loss: 1.680, train_loss : 1.554
Epoch 459 - T_A:  62.5%, V_A:  59.4%, Validation Loss: 1.458, train_loss : 1.378
Epoch 460 - T_A:  43.8%, V_A:  31.2%, Validation Loss: 2.319, train_loss : 1.608
Epoch 461 - T_A:  46.9%, V_A:  50.0%, Validation Loss: 1.963, train_loss : 1.833
Epoch 462 - T_A:  62.5%, V_A:  40.6%, Validation Loss: 1.897, train_loss : 1.717
Epoch 463 - T_A:  68.8%, V_A:  46.9%, Validation Loss: 2.115, train_loss : 1.207
Epoch 464 - T_A:  78.1%, V_A:  56.2%, Validation Loss: 1.699, train_loss : 1.238
Epoch 465 - T_A:  46.9%, V_A:  46.9%, Validation Loss: 1.784, train_loss : 1.857
Epoch 466 - T_A:  62.5%, V_A:  34.4%, Validation Loss: 1.765, train_loss : 1.262
Epoch 467 - T_A:  59.4%, V_A:  53.1%, Validation Loss: 1.331, train_loss : 1.635
Epoch 468 - T_A:  53.1%, V_A:  46.9%, Validation Loss: 1.818, train_loss : 1.831
Epoch 469 - T_A:  59.4%, V_A:  43.8%, Validation Loss: 1.386, train_loss : 1.599
Epoch 470 - T_A:  50.0%, V_A:  53.1%, Validation Loss: 1.811, train_loss : 2.090
Epoch 471 - T_A:  59.4%, V_A:  53.1%, Validation Loss: 1.822, train_loss : 1.423
Epoch 472 - T_A:  50.0%, V_A:  40.6%, Validation Loss: 2.083, train_loss : 1.406
Epoch 473 - T_A:  50.0%, V_A:  53.1%, Validation Loss: 1.520, train_loss : 1.580
Epoch 474 - T_A:  56.2%, V_A:  34.4%, Validation Loss: 2.324, train_loss : 1.106
Epoch 475 - T_A:  43.8%, V_A:  65.6%, Validation Loss: 1.576, train_loss : 2.012
Epoch 476 - T_A:  68.8%, V_A:  34.4%, Validation Loss: 2.165, train_loss : 1.409
Epoch 477 - T_A:  46.9%, V_A:  53.1%, Validation Loss: 1.543, train_loss : 1.566
Epoch 478 - T_A:  62.5%, V_A:  46.9%, Validation Loss: 1.981, train_loss : 1.077
Epoch 479 - T_A:  50.0%, V_A:  46.9%, Validation Loss: 1.689, train_loss : 1.878
Epoch 480 - T_A:  59.4%, V_A:  56.2%, Validation Loss: 1.464, train_loss : 1.658
Epoch 481 - T_A:  46.9%, V_A:  31.2%, Validation Loss: 2.223, train_loss : 1.576
Epoch 482 - T_A:  53.1%, V_A:  50.0%, Validation Loss: 1.721, train_loss : 1.313
Epoch 483 - T_A:  65.6%, V_A:  50.0%, Validation Loss: 1.916, train_loss : 0.964
Epoch 484 - T_A:  62.5%, V_A:  46.9%, Validation Loss: 1.571, train_loss : 1.312
Epoch 485 - T_A:  43.8%, V_A:  34.4%, Validation Loss: 1.572, train_loss : 1.750
Epoch 486 - T_A:  46.9%, V_A:  40.6%, Validation Loss: 2.147, train_loss : 1.447
Epoch 487 - T_A:  68.8%, V_A:  50.0%, Validation Loss: 1.986, train_loss : 1.199
Epoch 488 - T_A:  46.9%, V_A:  43.8%, Validation Loss: 1.630, train_loss : 1.630
Epoch 489 - T_A:  81.2%, V_A:  56.2%, Validation Loss: 1.581, train_loss : 1.153
Epoch 490 - T_A:  65.6%, V_A:  50.0%, Validation Loss: 2.077, train_loss : 1.669
Epoch 491 - T_A:  62.5%, V_A:  40.6%, Validation Loss: 1.789, train_loss : 0.877
Epoch 492 - T_A:  65.6%, V_A:  53.1%, Validation Loss: 2.279, train_loss : 1.149
Epoch 493 - T_A:  59.4%, V_A:  37.5%, Validation Loss: 1.871, train_loss : 1.129
Epoch 494 - T_A:  59.4%, V_A:  53.1%, Validation Loss: 1.434, train_loss : 1.368
Epoch 495 - T_A:  65.6%, V_A:  37.5%, Validation Loss: 1.759, train_loss : 1.468
Epoch 496 - T_A:  68.8%, V_A:  65.6%, Validation Loss: 1.396, train_loss : 1.148
Epoch 497 - T_A:  53.1%, V_A:  40.6%, Validation Loss: 2.378, train_loss : 1.773
Epoch 498 - T_A:  62.5%, V_A:  40.6%, Validation Loss: 1.841, train_loss : 1.405
Epoch 499 - T_A:  62.5%, V_A:  37.5%, Validation Loss: 2.028, train_loss : 1.232
Epoch 500 - T_A:  62.5%, V_A:  37.5%, Validation Loss: 2.114, train_loss : 1.789
Epoch 501 - T_A:  53.1%, V_A:  59.4%, Validation Loss: 1.604, train_loss : 1.514
Epoch 502 - T_A:  53.1%, V_A:  46.9%, Validation Loss: 1.532, train_loss : 1.589
Epoch 503 - T_A:  62.5%, V_A:  46.9%, Validation Loss: 1.617, train_loss : 1.134
Epoch 504 - T_A:  46.9%, V_A:  59.4%, Validation Loss: 1.168, train_loss : 1.399
Epoch 505 - T_A:  59.4%, V_A:  40.6%, Validation Loss: 1.819, train_loss : 1.397
Epoch 506 - T_A:  65.6%, V_A:  43.8%, Validation Loss: 1.658, train_loss : 1.094
Epoch 507 - T_A:  59.4%, V_A:  53.1%, Validation Loss: 1.730, train_loss : 1.520
Epoch 508 - T_A:  46.9%, V_A:  37.5%, Validation Loss: 1.829, train_loss : 1.572
Epoch 509 - T_A:  56.2%, V_A:  43.8%, Validation Loss: 1.772, train_loss : 1.686
Epoch 510 - T_A:  56.2%, V_A:  53.1%, Validation Loss: 1.319, train_loss : 1.778
Epoch 511 - T_A:  59.4%, V_A:  37.5%, Validation Loss: 2.352, train_loss : 1.902
Epoch 512 - T_A:  43.8%, V_A:  46.9%, Validation Loss: 1.556, train_loss : 1.671
Epoch 513 - T_A:  62.5%, V_A:  31.2%, Validation Loss: 2.020, train_loss : 1.421
Epoch 514 - T_A:  62.5%, V_A:  46.9%, Validation Loss: 1.655, train_loss : 1.622
Epoch 515 - T_A:  59.4%, V_A:  56.2%, Validation Loss: 2.011, train_loss : 1.211
Epoch 516 - T_A:  34.4%, V_A:  46.9%, Validation Loss: 2.026, train_loss : 1.833
Epoch 517 - T_A:  59.4%, V_A:  46.9%, Validation Loss: 1.701, train_loss : 1.257
Epoch 518 - T_A:  56.2%, V_A:  40.6%, Validation Loss: 2.419, train_loss : 1.206
Epoch 519 - T_A:  62.5%, V_A:  43.8%, Validation Loss: 1.676, train_loss : 1.597
Epoch 520 - T_A:  43.8%, V_A:  59.4%, Validation Loss: 1.835, train_loss : 1.708
Epoch 521 - T_A:  62.5%, V_A:  53.1%, Validation Loss: 1.701, train_loss : 1.179
Epoch 522 - T_A:  46.9%, V_A:  56.2%, Validation Loss: 1.554, train_loss : 1.585
Epoch 523 - T_A:  56.2%, V_A:  40.6%, Validation Loss: 2.062, train_loss : 1.902
Epoch 524 - T_A:  50.0%, V_A:  46.9%, Validation Loss: 2.035, train_loss : 1.904
Epoch 525 - T_A:  65.6%, V_A:  34.4%, Validation Loss: 1.889, train_loss : 1.330
Epoch 526 - T_A:  56.2%, V_A:  53.1%, Validation Loss: 1.669, train_loss : 1.613
Epoch 527 - T_A:  40.6%, V_A:  56.2%, Validation Loss: 1.906, train_loss : 1.879
Epoch 528 - T_A:  68.8%, V_A:  40.6%, Validation Loss: 2.499, train_loss : 1.257
Epoch 529 - T_A:  46.9%, V_A:  46.9%, Validation Loss: 2.146, train_loss : 1.461
Epoch 530 - T_A:  62.5%, V_A:  37.5%, Validation Loss: 1.939, train_loss : 1.406
Epoch 531 - T_A:  65.6%, V_A:  53.1%, Validation Loss: 1.612, train_loss : 1.384
Epoch 532 - T_A:  43.8%, V_A:  62.5%, Validation Loss: 1.650, train_loss : 1.446
Epoch 533 - T_A:  62.5%, V_A:  71.9%, Validation Loss: 1.583, train_loss : 1.591
Epoch 534 - T_A:  62.5%, V_A:  37.5%, Validation Loss: 1.990, train_loss : 1.479
Epoch 535 - T_A:  53.1%, V_A:  43.8%, Validation Loss: 1.789, train_loss : 1.632
Epoch 536 - T_A:  43.8%, V_A:  46.9%, Validation Loss: 2.113, train_loss : 1.484
Epoch 537 - T_A:  62.5%, V_A:  40.6%, Validation Loss: 1.877, train_loss : 1.445
Epoch 538 - T_A:  46.9%, V_A:  59.4%, Validation Loss: 1.472, train_loss : 1.588
Epoch 539 - T_A:  59.4%, V_A:  50.0%, Validation Loss: 1.793, train_loss : 1.672
Epoch 540 - T_A:  50.0%, V_A:  37.5%, Validation Loss: 1.673, train_loss : 1.656
Epoch 541 - T_A:  65.6%, V_A:  62.5%, Validation Loss: 1.227, train_loss : 1.082
Epoch 542 - T_A:  68.8%, V_A:  43.8%, Validation Loss: 1.944, train_loss : 1.095
Epoch 543 - T_A:  50.0%, V_A:  43.8%, Validation Loss: 1.491, train_loss : 1.463
Epoch 544 - T_A:  56.2%, V_A:  53.1%, Validation Loss: 1.914, train_loss : 1.276
Epoch 545 - T_A:  53.1%, V_A:  53.1%, Validation Loss: 1.753, train_loss : 1.214
Epoch 546 - T_A:  68.8%, V_A:  59.4%, Validation Loss: 2.183, train_loss : 1.013
Epoch 547 - T_A:  56.2%, V_A:  50.0%, Validation Loss: 1.576, train_loss : 1.376
Epoch 548 - T_A:  62.5%, V_A:  46.9%, Validation Loss: 2.430, train_loss : 1.442
Epoch 549 - T_A:  50.0%, V_A:  50.0%, Validation Loss: 1.369, train_loss : 1.162
Epoch 550 - T_A:  75.0%, V_A:  43.8%, Validation Loss: 1.789, train_loss : 1.290
Epoch 551 - T_A:  50.0%, V_A:  50.0%, Validation Loss: 1.614, train_loss : 1.440
Epoch 552 - T_A:  62.5%, V_A:  53.1%, Validation Loss: 2.235, train_loss : 1.242
Epoch 553 - T_A:  59.4%, V_A:  40.6%, Validation Loss: 1.926, train_loss : 1.023
Epoch 554 - T_A:  62.5%, V_A:  53.1%, Validation Loss: 1.740, train_loss : 1.294
Epoch 555 - T_A:  65.6%, V_A:  37.5%, Validation Loss: 1.993, train_loss : 1.540
Epoch 556 - T_A:  59.4%, V_A:  53.1%, Validation Loss: 1.894, train_loss : 1.236
Epoch 557 - T_A:  53.1%, V_A:  43.8%, Validation Loss: 1.678, train_loss : 1.729
Epoch 558 - T_A:  87.5%, V_A:  56.2%, Validation Loss: 1.711, train_loss : 1.001
Epoch 559 - T_A:  56.2%, V_A:  50.0%, Validation Loss: 1.524, train_loss : 1.813
Epoch 560 - T_A:  56.2%, V_A:  46.9%, Validation Loss: 2.340, train_loss : 1.500
Epoch 561 - T_A:  56.2%, V_A:  50.0%, Validation Loss: 1.770, train_loss : 1.472
Epoch 562 - T_A:  68.8%, V_A:  53.1%, Validation Loss: 1.824, train_loss : 1.220
Epoch 563 - T_A:  71.9%, V_A:  59.4%, Validation Loss: 1.729, train_loss : 1.105
Epoch 564 - T_A:  62.5%, V_A:  46.9%, Validation Loss: 2.216, train_loss : 1.189
Epoch 565 - T_A:  53.1%, V_A:  40.6%, Validation Loss: 2.123, train_loss : 1.673
Epoch 566 - T_A:  46.9%, V_A:  50.0%, Validation Loss: 2.133, train_loss : 1.425
Epoch 567 - T_A:  56.2%, V_A:  28.1%, Validation Loss: 1.820, train_loss : 1.518
Epoch 568 - T_A:  37.5%, V_A:  62.5%, Validation Loss: 1.393, train_loss : 1.320
Epoch 569 - T_A:  50.0%, V_A:  62.5%, Validation Loss: 1.509, train_loss : 1.505
Epoch 570 - T_A:  46.9%, V_A:  62.5%, Validation Loss: 1.471, train_loss : 1.556
